service_id,date,exception_type
"5487_613173","20241220","1"
"5487_613173","20241223","1"
"5487_613173","20241224","1"
"5487_613173","20241227","1"
"5487_613173","20241230","1"
"5487_613173","20241231","1"
"5487_613174","20241012","1"
"5487_613174","20241019","1"
"5487_613174","20241026","1"
"5487_613174","20241102","1"
"5487_613174","20241109","1"
"5487_613174","20241116","1"
"5487_613174","20241123","1"
"5487_613174","20241130","1"
"5487_613174","20241207","1"
"5487_613174","20241214","1"
"5487_613174","20241221","1"
"5487_613174","20241228","1"
"5487_613175","20241013","1"
"5487_613175","20241020","1"
"5487_613175","20241027","1"
"5487_613175","20241101","1"
"5487_613175","20241103","1"
"5487_613175","20241110","1"
"5487_613175","20241117","1"
"5487_613175","20241124","1"
"5487_613175","20241201","1"
"5487_613175","20241208","1"
"5487_613175","20241215","1"
"5487_613175","20241222","1"
"5487_613176","20241226","1"
"5487_613176","20241229","1"
"5487_613177","20241102","1"
"5487_613177","20241228","1"
"5487_613178","20241013","1"
"5487_613178","20241020","1"
"5487_613178","20241027","1"
"5487_613178","20241101","1"
"5487_613178","20241103","1"
"5487_613178","20241110","1"
"5487_613178","20241117","1"
"5487_613178","20241201","1"
"5487_613178","20241208","1"
"5487_613178","20241215","1"
"5487_613178","20241222","1"
"5487_613179","20241225","1"
"5487_613179","20241226","1"
"5487_613179","20241229","1"
"5487_613180","20241007","1"
"5487_613180","20241008","1"
"5487_613180","20241009","1"
"5487_613180","20241010","1"
"5487_613180","20241011","1"
"5487_613180","20241012","1"
"5487_613180","20241014","1"
"5487_613180","20241015","1"
"5487_613180","20241016","1"
"5487_613180","20241017","1"
"5487_613180","20241018","1"
"5487_613180","20241019","1"
"5487_613180","20241021","1"
"5487_613180","20241022","1"
"5487_613180","20241023","1"
"5487_613180","20241024","1"
"5487_613180","20241025","1"
"5487_613180","20241026","1"
"5487_613180","20241028","1"
"5487_613180","20241029","1"
"5487_613180","20241030","1"
"5487_613180","20241031","1"
"5487_613180","20241104","1"
"5487_613180","20241105","1"
"5487_613180","20241106","1"
"5487_613180","20241107","1"
"5487_613180","20241108","1"
"5487_613180","20241109","1"
"5487_613180","20241111","1"
"5487_613180","20241112","1"
"5487_613180","20241113","1"
"5487_613180","20241114","1"
"5487_613180","20241115","1"
"5487_613180","20241116","1"
"5487_613180","20241118","1"
"5487_613180","20241119","1"
"5487_613180","20241120","1"
"5487_613180","20241121","1"
"5487_613180","20241122","1"
"5487_613180","20241123","1"
"5487_613180","20241125","1"
"5487_613180","20241126","1"
"5487_613180","20241127","1"
"5487_613180","20241128","1"
"5487_613180","20241129","1"
"5487_613180","20241130","1"
"5487_613180","20241202","1"
"5487_613180","20241203","1"
"5487_613180","20241204","1"
"5487_613180","20241205","1"
"5487_613180","20241206","1"
"5487_613180","20241207","1"
"5487_613180","20241209","1"
"5487_613180","20241210","1"
"5487_613180","20241211","1"
"5487_613180","20241212","1"
"5487_613180","20241213","1"
"5487_613180","20241214","1"
"5487_613180","20241216","1"
"5487_613180","20241217","1"
"5487_613180","20241218","1"
"5487_613180","20241219","1"
"5487_613180","20241220","1"
"5487_613180","20241221","1"
"5487_613180","20241223","1"
"5487_613180","20241224","1"
"5487_613180","20241227","1"
"5487_613180","20241230","1"
"5487_613180","20241231","1"
"5487_613181","20241007","1"
"5487_613181","20241008","1"
"5487_613181","20241009","1"
"5487_613181","20241010","1"
"5487_613181","20241011","1"
"5487_613181","20241012","1"
"5487_613181","20241014","1"
"5487_613181","20241015","1"
"5487_613181","20241016","1"
"5487_613181","20241017","1"
"5487_613181","20241018","1"
